"term","loan_amnt","outcome","mean"
"36 month loans","below $12000","Negative","40.3"
"36 month loans","below $12000","Positive","34.1"
"36 month loans","between $12000 - $24000","Negative","41.5"
"36 month loans","between $12000 - $24000","Positive","30.8"
"36 month loans","over $24000","Negative","43.8"
"36 month loans","over $24000","Positive","32.8"
"60 month loans","below $12000","Negative","57.0"
"60 month loans","below $12000","Positive","52.1"
"60 month loans","between $12000 - $24000","Negative","56.0"
"60 month loans","between $12000 - $24000","Positive","47.4"
"60 month loans","over $24000","Negative","59.1"
"60 month loans","over $24000","Positive","51.8"
